Date,Time,ID,type,order_taken,processed,sniffing,rotation,scatter-hoard,eaten,jaw-movement,nb tour horizontal,nb tour vertical,timing (s),teeth-hole contact,Comments,N_congeners_around,temperature,humidity (percent),Session,Arena,Block
24/05,07:25,Whiteline,hole,1,1,0,0,0,1,2,NA,NA,,1,"tried to eat for a while then went SH, rotated a bit but I think it is more to replace than to assess cause it's efter teeth hole contact",5,,,1,1,1
24/05,07:29,Whiteline,control,2,1,2,1,1,0,2,0,2,,NA,,5,,,1,1,1
24/05,07:34,Whiteline,crushed,3,1,0,1,1,0,2,1,0,,NA,,5,,,1,1,1
24/05,07:37,Whiteline,crushed,1,1,2,1,0,1,3,0,1,,NA,,5,,,1,1,2
24/05,07:38,Whiteline,hole,2,1,3,1,0,1,9,0,1,,1,"tried to eat and then quickly SH, probably cause learned it is really hard to eat, I would still put eat in cause it is the intention at the beginning, but we need to discuss this",5,,,1,1,2
24/05,07:39,Whiteline,control,3,1,1,1,0,1,4,0,2,,NA,,5,,,1,1,2
24/05,07:44,Whiteline,crushed,1,1,1,1,1,0,2,1,0,,NA,,5,,,1,1,3
24/05,07:45,Whiteline,hole,2,0,1,0,NA,NA,2,0,0,,1,dropped it,5,,,1,1,3
24/05,07:45,Whiteline,control,3,1,0,0,1,0,0,0,0,,NA,,5,,,1,1,3
24/05,07:48,Whiteline,hole,4,0,0,0,NA,NA,0,0,0,,NA,"we coudl put one for teeth hole contact cause he probably knows that it is the one he just dropped, after that one more instance of quick smell or bite and then ignoring",5,,,1,1,3
24/05,07:54,Whiteline,control,1,1,3,1,1,0,3,0,1,,,NA,5,,,1,1,4
24/05,07:55,Whiteline,crushed,2,1,3,1,0,1,6,2,2,,NA,,5,,,1,1,4
24/05,07:56,Whiteline,hole,3,1,1,0,1,0,1,NA,NA,,0,,5,,,1,1,4
24/05,07:59,Whiteline,hole,1,1,0,0,1,0,1,0,0,,0,,5,,,1,1,5
24/05,08:01,Whiteline,crushed,2,1,0,0,0,1,2,NA,NA,,NA,,5,,,1,1,5
24/05,08:01,Whiteline,control,3,1,0,1,1,0,2,1,0.5,,NA,,5,,,1,1,5
24/05,08:10,Whiteline,crushed,1,1,0,1,0,1,5,0.25,1,,NA,,5,,,1,1,6
24/05,08:11,Whiteline,hole,2,0,3,1,NA,NA,6,1,0.5,,NA,,5,,,1,1,6
24/05,08:11,Whiteline,control,3,1,4,1,1,0,8,0.25,1,,NA,,5,,,1,1,6
24/05,08:13,Whiteline,hole,4,1,2,1,1,0,2,0,0.5,,0,,5,,,1,1,6
