date,time.of.day,time (UTC),temperature (°C),Study site,ID,weather,Fruit,unstem,peel,transported,scatter.hoarded,eaten.lifted,eaten.on.the.floor,peeled.lifted,rotate,scent-marking,handling.only,comments,order taken,trials before first bite,peel bouts before first eating bout,hands used while eating,bite for each peeling bout (mean),total peeling bout,trials before scatterhoarding,leaf on top,time.first.peeling,time.first.eating,nb of eating bout before second peeling bout,,,,
07/06/2024,afternoon,18:22,NA,Backabandoned,Unidentified,NA,banana,NA,NA,1,0,NA,0,0,0,0,0,,,,,,,,,,,,,,,,
07/06/2024,afternoon,17:42,NA,Backabandoned,Unidentified,NA,banana,NA,NA,1,0,NA,0,0,0,0,0,,,,,,,,,,,,,Total,Peel (no/yes),Transported,Scatter-hoarded
07/06/2024,afternoon,16:48,NA,Backabandoned,Unidentified,NA,banana,1,1,0,0,1,0,1,0,0,0,,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,,banana,8,28,0
07/06/2024,morning,12:30,25,BackNeighbor,Unidentified,NA,banana,0,1,0,0,0,1,0,0,0,0,,NA,1,3,2,5,3,NA,NA,NA,NA,,,14,8,0
07/06/2024,afternoon,20:48,32,BackNeighbor,Unidentified,NA,banana,1,1,0,0,0,1,0,0,0,0,,NA,1,1,2,8,1,NA,NA,8,NA,2,apple,0,11,0
07/06/2024,morning,12:45,25,FrontAirbnb,Orangie,NA,banana,1,1,0,0,1,1,0,0,0,0,,NA,0,1,2,0,1,NA,NA,NA,NA,,,,,
07/06/2024,afternoon,20:49,30,NeighborStairCam,Orangie,NA,banana,1,1,0,0,0,1,0,0,0,0,"tries lifting first, then put on the ground",NA,0,1,2,8,3,NA,NA,10,14,1,,,,
07/06/2024,afternoon,19:34,35,NeighborStairCam,Stairs,NA,banana,0,1,1,0,0,1,0,0,0,0,very far,NA,0,1,2,NA,2,NA,NA,,,,,,,
07/06/2024,afternoon,19:33,35,NeighborStairCam,Stairs,NA,banana,0,0,1,0,0,0,0,0,0,0,,NA,1,NA,NA,NA,NA,NA,NA,,,,,,,
07/06/2024,afternoon,20:51,31,NeighborStairCam,Stairs,NA,banana,0,0,0,0,0,0,0,1,0,1,peeled but not eaten,NA,0,NA,NA,NA,NA,NA,NA,,,,,,,
09/06/2024,morning,10:37,25,BackAirbnb.Frontcam,Unidentified,NA,banana,0,1,0,0,0,0,1,0,0,1,peeled but not eaten,NA,3,NA,NA,10,1,NA,NA,,,,,,,
09/06/2024,afternoon,23:31,26,BackAirbnb.Frontcam,Gardenpatch,NA,banana,0,1,0,0,0,0,1,0,0,1,peeled but not eaten,NA,1,NA,NA,13,1,NA,NA,,,,,,,
09/06/2024,afternoon,16:06,31,BackCamSideNeighbor,Gardenpatch,NA,banana,0,NA,1,0,0,0,0,0,0,0,,NA,0,2,1,6,6,NA,NA,,,,,,,
09/06/2024,morning,11:39,24,BackCamSideNeighbor,Unidentified,NA,banana,0,NA,1,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
