Date,Time,video_title,ID,type,order_taken,sniffing,rotation,scatter-hoard,eaten,jaw-movement,nb tour horizontal,nb tour vertical,timing (s),teeth-hole contact,Comments,N_congeners_around,temperature,humidity (percent),Session,Arena,Block,,assess,jaws,rots
5-Dec,17:16,Boi_1205_1_seven,Boiteux,"0,7",1,1,1,1,0,5,1,0,6,NA,,,,,1,0,,,5.27,7,4
5-Dec,17:21,Boi_1205_2_three,Boiteux,"0,3",2,0,1,1,0,4,0,"0,5","3,5",0,,,,,1,0,,,4.37,10,5
5-Dec,17:24,Boi_1205_3_five,Boiteux,"0,5",3,1,1,1,0,9,1,1,"14,5",NA,very long rotation,,,,1,0,,,14.13,36,10
5-Dec,17:31,Boi_1205_4_one,Boiteux,1,4,0,1,0,1,2,0,0,NA,NA,,,,,1,0,,,1.3,2,1
5-Dec,17:33,Boi_1205_5_five,Boiteux,"0,5",5,1,1,0,1,8,1,0,11,1,,,,,1,0,,,11.83,27,1
5-Dec,17:35,Boi_1205_6_three,Boiteux,"0,3",6,0,1,1,0,1,"0,5",0,1,0,very short rotation,,,,1,0,,,2.1,5,2
5-Dec,17:36,Boi_1205_7_one,Boiteux,1,7,0,0,0,1,1,0,0,1,1,,,,,1,0,,,1.33,2,1
5-Dec,17:38,Boi_1205_8_five,Boiteux,"0,5",8,2,1,1,0,7,0,1,"7,5",0,,,,,1,0,,,7.3,15,7
5-Dec,17:41,Boi_1205_9_seven,Boiteux,"0,7",9,0,1,0,1,1,0,0,1,NA,,,,,1,0,,,2.47,2,0
5-Dec,17:42,Boi_1205_10_three,Boiteux,"0,3",10,1,1,0,1,6,1,"0,5",5,NA,freeze because one congener stares at him very closely,1,,,1,0,,,4.17,11,4
5-Dec,17:43,Boi_1205_11_five,Boiteux,"0,5",11,0,0,0,1,0,0,0,NA,NA,,,,,1,0,,,,,
5-Dec,17:43,Boi_1205_12_control,Boiteux,control,12,0,0,0,1,3,0,"0,5","3,5",NA,,,,,1,0,,,3.3,6,1
5-Dec,17:45,Boi_1205_13_control,Boiteux,control,13,1,0,1,0,4,0,0,"1,5",NA,,,,,1,0,,,1.93,5,1
5-Dec,17:51,,Sidemark,control,1,1,1,1,0,1,0,"0,5",2,NA,,,,,1,0,,,2.1,4,1
5-Dec,17:52,,Sidemark,"0,5",2,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,17:53,,Sidemark,1,3,0,0,1,0,0,NA,NA,NA,0,,,,,1,0,,,,,
5-Dec,17:54,,Sidemark,1,4,0,0,1,0,0,NA,NA,NA,0,,,,,1,0,,,,,
5-Dec,17:56,,Sidemark,"0,3",5,1,1,0,1,2,0,1,"4,5",NA,bothered by congener,1,,,1,0,,,3.6,9,4
5-Dec,17:57,,Sidemark,"0,7",6,0,NA,0,1,NA,NA,NA,NA,NA,behind bush i guess,,,,1,0,,,,,
5-Dec,17:58,,Sidemark,"0,3",7,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,17:59,,Sidemark,"0,5",8,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:02,,Sidemark,1,9,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:03,,Sidemark,"1,5",10,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:04,,Sidemark,"1,5",11,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:04,,Sidemark,"0,3",12,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:17,,Sidemark,"0,7",13,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:19,,Sidemark,"0,5",14,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:20,,Sidemark,"0,3",15,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
5-Dec,18:21,,Sidemark,"0,5",16,0,0,1,0,0,NA,NA,NA,NA,,,,,1,0,,,,,
13/05,7:45,,Pepper,control,1,NA,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,7:46,,Pepper,control,2,NA,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,7:47,,Pepper,control,3,NA,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,7:49,,Pepper,"0,5",4,0,1,1,0,2,0,0,2,0,,,,,2,0,,,1.23,4,0
13/05,7:50,,Pepper,"0,7",5,0,1,0,1,5,0,"0,5","1,3",1,,,,,2,0,,,1.37,4,2
13/05,7:50,,Pepper,"0,3",6,1,1,1,0,3,0,0,"1,2",0,,,,,2,0,,,1.03,2,0
13/05,7:54,,Pepper,1,7,0,0,0,1,6,"1,5",0,"2,3",1,,,,,2,0,,,2.39,4,0
13/05,7:54,,Pepper,"0,5",8,0,0,1,0,1,0,0,"0,8",0,,,,,2,0,,,0.63,2,0
13/05,7:55,,Pepper,"0,3",9,0,1,0,1,4,1,0,2,1,if you zoom a looooot I think tooth touches hole !!,,,,2,0,,,1.22,0,2
13/05,7:56,,Pepper,"0,3",10,1,1,1,0,3,"0,5",0,2,0,,,,,2,0,,,1.67,4,0
13/05,7:57,,Pepper,"0,3",11,0,1,0,1,5,"0,75",0,2,0,,,,,2,0,,,1.57,5,1
13/05,7:57,,Pepper,"0,5",12,0,1,1,0,2,"0,5",0,1,0,,,,,2,0,,,0.73,2,0
13/05,7:59,,Pepper,control,13,0,1,1,0,NA,NA,NA,2,NA,,,,,2,0,,,,,
13/05,8:01,,Pepper,control,14,0,1,1,0,NA,NA,NA,2,NA,,,,,2,0,,,,,
13/05,8:01,,Pepper,"0,7",15,0,1,0,1,3,"0,75",0,"3,5",1,if you zoom a looooot tooth touches hole!!,,,,2,0,,,2.99,4,2
13/05,8:02,,Pepper,"0,7",16,0,0,1,0,3,0,0,1,0,,,,,2,0,,,0.93,4,1
13/05,8:10,,Houdi,control,1,0,1,1,0,NA,NA,NA,NA,NA,not on video,,,,2,0,,,,,
13/05,8:10,,Houdi,control,2,0,1,1,0,NA,NA,NA,NA,NA,not on video,,,,2,0,,,,,
13/05,8:11,,Houdi,"0,7",3,0,0,0,1,1,0,0,1,NA,,,,,2,0,,,,,
13/05,8:11,,Houdi,"0,3",4,2,1,0,1,6,"1,5",1,7,1,"essayes de regarder mieux s'il touche le trou avec ses dents ou non, on voit le trou sur la video !!!!",,,,2,0,,,,,
13/05,8:12,,Houdi,"0,5",5,0,0,1,0,NA,NA,NA,NA,0,,,,,2,0,,,,,
13/05,8:52,,Sidemark,control,1,NA,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:52,,Sidemark,control,2,NA,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:52,,Sidemark,"0,7",3,0,NA,0,1,0,NA,NA,NA,NA,behind bush,,,,2,0,,,2.1,0,0
13/05,8:53,,Sidemark,control,4,0,NA,0,1,0,NA,NA,NA,NA,,,,,2,0,,,1.8,3,1
13/05,8:54,,Sidemark,"0,3",5,0,1,1,0,2,"0,25",0,2,0,,,,,2,0,,,1.5,3,1
13/05,8:55,,Sidemark,"0,3",6,0,0,1,0,0,NA,NA,NA,0,,,,,2,0,,,,,
13/05,8:58,,Sidemark,"0,5",7,0,0,1,0,2,0,0,"1,5",0,,,,,2,0,,,0.93,2,0
13/05,8:59,,Sidemark,control,8,0,1,1,0,0,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:59,,Sidemark,1,9,0,0,1,0,0,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,9:02,,Sidemark,"0,7",10,0,0,1,0,0,NA,NA,NA,0,GOOD EX OF NO ROTATION BUT HOLE IS FAR FROM MOUTH --> SH,,,,2,0,,,,,
13/05,9:04,,Sidemark,"0,3",11,1,1,1,0,2,"0,25",0,1,0,very short manip,,,,2,0,,,0.83,2,0
13/05,9:06,,Sidemark,"1,5",12,0,0,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,9:08,,Sidemark,1,13,0,0,1,0,NA,NA,NA,NA,0,,,,,2,0,,,,,
13/05,9:09,,Sidemark,"1,5",14,0,1,1,0,3,"0,25",0,"1,5",NA,,,,,,0,,,1.1,1,0
13/05,9:10,,Sidemark,"0,3",15,0,0,1,0,0,NA,NA,NA,0,,,,,2,0,,,,,
13/05,9:11,,Sidemark,"0,5",16,0,0,1,0,0,NA,NA,NA,0,,,,,2,0,,,,,
13/05,9:14,,Sidemark,"0,3",17,0,0,1,0,0,NA,NA,NA,0,agonistic interaction,,,,2,0,,,,,
13/05,9:16,,Sidemark,"0,7",18,0,1,0,1,0,NA,NA,NA,NA,start Sh but then rotates and eat,,Not on video,,2,0,,,,,
13/05,9:17,,Sidemark,"0,5",19,0,0,1,0,0,NA,NA,NA,0,,,,,2,0,,,,,
13/05,9:18,,Sidemark,1,20,0,0,1,0,0,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:54,,Whiteline,control,1,0,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:54,,Whiteline,control,2,0,NA,1,0,NA,NA,NA,NA,NA,,,,,2,0,,,,,
13/05,8:54,,Whiteline,"0,5",3,0,1,0,1,,,,,,"almost only controls in its session, is it really relevant for parametrics?",,,,2,0,,,1.6,2,0
13/05,9:04,,Whiteline,control,4,0,0,0,1,,,,,,,1,,,2,0,,,,,
