Day,Time,ID,type,order_taken,rotation,scatter-hoard,leaf,eaten,N_congeners_around,session_number,bloc_number,Comments,Session,jaw-movement,nb tour horizontal,nb tour vertical,timing (s),teeth-hole contact,
22/04,,Josianne,control,1,1,1,0,0,0,1,1,5 sniffing,1,21,1,2,7,NA,
22/04,,Josianne,control,2,1,1,1,0,0,1,1,Male. Ate 8 peanuts + 2 banana pieces,1,22,1,3,8,NA,
22/04,,Josianne,1cm_hole,3,0,1,1,0,0,1,1,rotated twice,1,0,NA,NA,NA,0,
22/04,,Josianne,1cm_hole,4,1,1,1,0,0,1,1,rotated twice,1,8,0,2,4,0,
22/04,,Josianne,crushed,5,1,0,0,1,0,1,1,,1,9,"1,5",0,4,NA,
22/04,,Josianne,crushed,6,1,0,0,1,0,1,1,,1,14,1,1,9,NA,
22/04,,Josianne,1cm_hole,7,1,0,0,1,0,1,1,,1,5,0,1,4,1,
22/04,,Josianne,crushed,8,1,1,1,0,0,1,1,,1,,,,,,
22/04,,Josianne,control,9,1,1,1,0,0,1,1,,1,,,,,,
22/04,,Josianne,1cm_hole,10,1,0,0,1,0,1,1,,1,,,,,,
22/04,,Josianne,control,11,1,1,1,0,0,1,1,,1,,,,,,
22/04,,Josianne,control,12,1,1,1,0,0,1,1,,1,,,,,,
22/04,,Josianne,crushed,13,1,0,0,1,0,1,1,,1,,,,,,
22/04,,Josianne,crushed,14,1,0,0,1,0,1,1,,1,,,,,,
22/04,18:05,Grizzly,control,1,1,1,0,0,2,1,1,,1,,,,,,
22/04,,Grizzly,1cm_hole,2,1,0,0,1,1,1,1,,1,8,1,1,"9,5",NA,
22/04,,Grizzly,control,3,0,1,0,0,2,1,1,,1,0,NA,NA,NA,NA,
22/04,,Grizzly,crushed,4,0,0,0,1,2,1,1,,1,1,0,0,"0,5",NA,
22/04,,Grizzly,control,5,0,1,0,0,2,1,1,,1,0,NA,NA,NA,NA,
22/04,,Grizzly,crushed,6,1,0,0,1,1,1,1,,1,2,0,0,"0,5",NA,
22/04,,Grizzly,1cm_hole,1,0,0,0,1,1,1,2,,1,2,0,0,"0,5",0,
22/04,,Grizzly,crushed,2,1,0,0,1,1,1,2,,1,2,0,"0,5","1,5",NA,
