Day,Time,ID,type,order_taken,rotation,scatter-hoard,leaf,eaten,N_congeners_around,Session,bloc_number,Comments,teeth-hole contact,,,,,,,,,,,,,
16/04,17:45,1,control,NA,1,1,NA,0,6,1,,ADULT MALE,,,,,,,,,,,,,,
16/04,,1,control,NA,0,1,NA,0,6,1,,,,,,,,,,,,,,,,
16/04,,1,control,NA,0,1,0,0,4,1,,,,,,,,,,,,,,,,
16/04,17:51,1,empty,NA,0,1,NA,0,5,1,,1congener very close,,,,,,,,,,,,,,
16/04,18:00,1,empty,NA,1,1,1,0,5,1,,,,,,,,,,,,,,,,
16/04,18:09,1,empty,NA,0,1,1,0,4,1,,,,,,,,,,,,,,,,
16/04,18:16,1,2-mobile,NA,1,1,0,0,0,1,,SH closer to the source,,,,,,,,,,,,,,
16/04,,1,1-immobile,NA,0,1,4,0,NA,1,,,,,,,,,,,,,,,,
16/04,,1,1-immobile,NA,1,1,3,0,NA,1,,,,,,,,,,,,,,,,
16/04,,1,2-immobile,NA,0,1,1,0,2,1,,Verylong time. ~5mn to find the right spot,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04,,2,control,1,1,1,1,0,3,1,,ADULT MALE,,,,,,,,,,,,,,
17/04,,2,2-mobile,1,0,0,0,1,3,2,,,,,,,,,,,,,,,,
17/04,,2,2-mobile,2,1,1,1,0,2,2,,,,,,,,,,,,,,,,
17/04,,2,empty,3,0,1,1,0,1,2,,,,,,,,,,,,,,,,
17/04,,2,matza,4,0,1,0,0,1,2,,,,,,,,,,,,,,,,
17/04,,2,2-mobile,5,0,1,1,0,1,2,,,,,,,,,,,,,,,,
17/04,,2,grape,6,0,0,0,1,2,2,,,,,,,,,,,,,,,,
17/04,,2,1-mobile,7,1,1,1,0,0,2,,,,,,,,,,,,,,,,
17/04,,2,control,8,0,1,0,0,1,2,,,,,,,,,,,,,,,,
17/04,,2,empty,9,1,1,0,0,0,2,,,,,,,,,,,,,,,,
17/04,,2,2-immobile,10,0,1,1,0,0,2,,,,,,,,,,,,,,,,
17/04,,2,grape,11,0,0,0,1,1,2,,,,,,,,,,,,,,,,
17/04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ADULT FEMALE,,,,,,,,,,,,,,
18/04,17:30,3,control,1,1,1,1,0,2,3,,"Dépose par terre apres 5mn de marche, puis reprends en bouche et continue, puis pause et renifle peanut, puis reprends. En tout 10mn.",,,,,,,,,,,,,,
18/04,17:42,3,control,2,1,1,0,0,2,3,,,,,,,,,,,,,,,,
18/04,17:45,3,empty,3,1,1,0,0,2,3,,,,,,,,,,,,,,,,
18/04,17:48,3,2-mobile,4,1,1,1,0,2,3,,rotation x2 (pause in the middle),,,,,,,,,,,,,,
18/04,17:50,3,control,5,1,1,0,0,2,3,,,,,,,,,,,,,,,,
18/04,17:54,3,control,6,0,1,0,0,3,3,,,,,,,,,,,,,,,,
18/04,17:59,3,1-immobile,7,1,1,0,0,3,3,,rotation x4,,,,,,,,,,,,,,
,,,,,,,,,,3,,ADULT FEMALE PREGNANT,,,,,,,,,,,,,,
18/04,18:05,4,control,1,1,1,3,0,8,3,,,,,,,,,,,,,,,,
18/04,18:11,4,empty,2,1,1,0,0,8,3,,"rotation very long, 10sec",,,,,,,,,,,,,,
18/04,18:16,4,1-mobile,3,1,1,0,0,8,3,,bites a little when rotating,,,,,,,,,,,,,,
18/04,18:22,4,rice break,,,,,,,3,,,,,,,,,,,,,,,,
18/04,18:27,4,2-immobile,4,1,1,0,0,8,3,,rotationx2,,,,,,,,,,,,,,
18/04,18:30,4,2-mobile,5,1,1,0,0,8,3,,rotationx3,,,,,,,,,,,,,,
,,,,,,,,,,,,ADULT MALE,,,,,,,,,,,,,,
18/04,,1,control,1,0,1,0,0,6,3,,,,,,,,,,,,,,,,
18/04,,1,crushed,2,0,0,0,1,6,3,,,,,,,,,,,,,,,,
18/04,,1,control,3,0,0,0,1,6,3,,,,,,,,,,,,,,,,
18/04,,1,control,4,1,1,NA,0,6,3,,,,,,,,,,,,,,,,
18/04,,1, control,5,1,1,NA,0,6,3,,,,,,,,,,,,,,,,
18/04,,1,control,6,0,0,0,1,6,3,,,,,,,,,,,,,,,,
18/04,,1,crushed,7,0,0,0,1,5,3,,,,,,,,,,,,,,,,
18/04,,1,crushed,8,0,0,0,1,5,3,,,,,,,,,,,,,,,,
18/04,,1,control,9,1,1,1,0,5,3,,,,,,,,,,,,,,,,
18/04,,1,control,10,0,1,0,0,5,3,,,,,,,,,,,,,,,,
18/04,,1,crushed,11,0,0,0,1,5,3,,,,,,,,,,,,,,,,
18/04,,1,1cm_hole,12,0,0,0,1,5,3,,,,,,,,,,,,,,,,
18/04,,1,1cm_hole,13,0,0,0,1,5,3,,,,,,,,,,,,,,,,
18/04,,1,control,14,1,1,0,0,5,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
19/04,,2,control,1,1,0,0,1,1,4,,,,,,,,,,,,,,,,
19/04,,2,bread,2,0,1,0,0,2,4,,,,,,,,,,,,,,,,
19/04,,2,crushed,3,0,0,0,1,2,4,,,,,,,,,,,,,,,,
19/04,,2,control,4,1,1,0,0,3,4,,,,,,,,,,,,,,,,
19/04,,2,crushed,5,1,0,0,1,3,4,,,,,,,,,,,,,,,,
19/04,,2,control,6,1,1,1,0,3,4,,,,,,,,,,,,,,,,
19/04,,2,1cm_hole,1,1,0,0,1,7,4,,,,,,,,,,,,,,,,
19/04,,2,fissure,2,1,0,0,1,7,4,,,,,,,,,,,,,,,,
19/04,,2,fissure,3,1,1,0,0,7,4,,,,,,,,,,,,,,,,
19/04,,2,1cm_hole,4,1,1,0,0,7,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
19/04,17:38,5,control,1,1,NA,0,0,7,4,,peel and SH one peanut without shell,,,,,,,,,,,,,,
19/04,,5,1cm_hole,2,0,0,0,1,7,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,3,0,1,0,0,7,4,,,,,,,,,,,,,,,,
19/04,,5,fissure,4,1,0,0,1,7,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,5,1,1,1,0,7,4,,,,,,,,,,,,,,,,
19/04,,5,empty,6,1,1,0,0,7,4,,,,,,,,,,,,,,,,
19/04,,5,control,7,1,1,0,0,6,4,,,,,,,,,,,,,,,,
19/04,,5,crushed,8,1,1,0,0,6,4,,,,,,,,,,,,,,,,
19/04,18:28,5,control,9,0,1,0,0,2,4,,,,,,,,,,,,,,,,
19/04,,5,wet_fissure,10,1,0,0,1,2,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,11,1,0,0,1,1,4,,,,,,,,,,,,,,,,
19/04,,5,wet,12,1,1,1,0,1,4,,,,,,,,,,,,,,,,
19/04,,5,fissure,13,1,1,0,0,0,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,14,1,1,0,0,0,4,,,,,,,,,,,,,,,,
19/04,,5,crushed,15,1,0,0,1,0,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole_halfempty,16,0,0,0,1,0,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,17,0,1,1,0,0,4,,,,,,,,,,,,,,,,
19/04,,5,1cm_hole,18,1,0,0,1,1,4,,,,,,,,,,,,,,,,
19/04,,5,empty,19,1,1,0,0,1,4,,,,,,,,,,,,,,,,
19/04,,5,fissure,20,1,1,1,0,1,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
19/04,,1,control,1,1,1,0,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole,2,1,0,0,1,6,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole_halfempty,3,1,0,0,1,6,5,,,,,,,,,,,,,,,,
19/04,,1,empty,4,1,1,1,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,crushed,5,1,1,0,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole,6,0,1,0,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,crushed,7,1,NA,0,0,6,5,,peel and SH the two peanuts without shell,,,,,,,,,,,,,,
19/04,,1,control,8,1,1,1,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole,9,1,1,1,0,6,5,,,,,,,,,,,,,,,,
19/04,,1,very_crushed,10,0,0,0,1,5,5,,,,,,,,,,,,,,,,
19/04,,1,crushed,11,0,0,0,1,5,5,,,,,,,,,,,,,,,,
19/04,,1,empty,12,1,1,0,0,5,5,,,,,,,,,,,,,,,,
19/04,18:38,1,control,13,1,1,0,0,0,5,,,,,,,,,,,,,,,,
19/04,,1,crushed,14,0,1,0,0,0,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole_halfempty,15,1,0,0,1,0,5,,,,,,,,,,,,,,,,
19/04,,1,wet_crushed,16,1,0,0,1,0,5,,,,,,,,,,,,,,,,
19/04,,1,crushed,17,1,0,0,1,0,5,,,,,,,,,,,,,,,,
19/04,,1,1cm_hole,18,1,1,0,0,0,5,,,,,,,,,,,,,,,,
19/04,,1,wet_1cm_hole,19,1,0,0,1,0,5,,,,,,,,,,,,,,,,
19/04,,1,control,20,1,1,0,0,0,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04,05:32,Grizzly,control,1,0,1,0,0,1,6,,Female. SH 3 bread pieces before start of session. Eat 5 peanuts before first peanut SH at 5:32.,,,,,,,,,,,,,,
21/04,,Grizzly,control,2,0,0,0,1,1,6,"1,,1,2",,,,,,,,,,,,,,,
21/04,,Grizzly,control,3,0,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Grizzly,control,4,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,control,1,1,1,0,0,3,6,,Eats 5 peanuts before first SH,,,,,,,,,,,,,,
21/04,,Juvenile,control,2,1,1,1,0,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,crushed,3,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,2cm_hole,4,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,1cm_hole,5,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,control,6,1,1,1,0,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,crushed,7,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,1cm_hole,8,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,1,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,3,1,1,1,0,3,6,,Mâle. Eat 5 peanuts before first SH.,,,,,,,,,,,,,,
21/04,,Biche,control,4,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,5,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,6,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,empty,7,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,empty,8,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,9,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,10,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,11,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,12,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,13,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,14,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,15,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,16,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,1cm_hole,17,1,1,1,0,2,6,,,,,,,,,,,,,,,,
