Date,Time,ID,type,order_taken,sniffing,rotation,scatter-hoard,leaf,eaten,N_congeners_around,temperature,humidity (percent),Comments
21/04,05:32,Grizzly,control,1,0,0,0,0,1,1,30,70,
21/04,,Grizzly,control,2,0,0,0,0,1,1,,,
21/04,,Grizzly,control,3,0,0,0,0,1,1,,,
21/04,,Grizzly,control,4,0,0,0,0,1,1,,,
21/04,,Grizzly,control,5,0,0,1,0,0,1,,,
21/04,,Grizzly,control,6,0,0,1,0,0,1,,,
21/04,,Grizzly,control,7,0,0,0,0,1,2,,,
21/04,,Grizzly,control,8,0,0,1,0,0,2,,,
21/04,,Grizzly,control,9,0,1,0,0,1,2,,,
21/04,,Grizzly,control,10,0,1,0,0,1,2,,,
21/04,,Grizzly,control,11,0,0,1,0,0,2,,,
21/04,,Grizzly,control,12,0,0,1,0,0,2,,,
21/04,,Grizzly,control,13,0,1,1,0,0,2,,,
21/04,,Grizzly,control,12,0,0,1,0,0,2,,,
22/04,,Josianne,control,1,0,0,0,0,1,0,,,
22/04,,Josianne,control,2,0,0,0,0,1,0,,,
22/04,,Josianne,control,3,0,0,0,0,1,0,,,
22/04,,Josianne,control,4,0,0,0,0,1,0,,,
22/04,,Josianne,control,5,0,0,0,0,1,0,,,
22/04,,Josianne,control,6,0,0,0,0,1,0,,,
22/04,,Josianne,control,7,0,0,0,0,1,0,,,
22/04,,Josianne,control,8,0,0,0,0,1,0,,,
22/04,,Josianne,control,9,0,1,1,0,0,0,,,
22/04,,Josianne,control,10,0,1,1,1,0,0,,,
22/04,,Josianne,control,11,0,0,1,1,0,0,,,
22/04,,Josianne,control,12,0,1,1,0,0,0,,,
22/04,,Josianne,control,13,0,0,0,0,1,0,,,
22/04,,Josianne,control,14,0,0,1,0,0,0,,,
23/04,08:40,Lignablanca,control,1,0,0,0,0,1,2,28,,
23/04,,Lignablanca,control,2,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,3,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,4,0,0,0,0,1,2,,71,
23/04,,Lignablanca,control,5,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,6,0,0,0,0,1,2,,,
23/04,,Lignablanca,,6mn break,0,,,,,2,,,
23/04,,Lignablanca,control,7,1,0,0,0,1,2,,,
23/04,,Lignablanca,control,8,1,0,0,0,1,2,,,
23/04,,Lignablanca,control,9,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,10,1,0,0,0,1,2,,,
23/04,,Lignablanca,control,11,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,12,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,13,0,1,0,0,1,2,,,
23/04,,Lignablanca,control,14,0,0,0,0,1,2,,,
23/04,,Lignablanca,control,15,0,0,0,0,1,3,,,
23/04,,Lignablanca,control,16,0,0,1,0,0,3,,,
23/04,,Lignablanca,control,17,0,0,1,0,0,3,,,
23/04,,Lignablanca,control,18,0,0,0,0,1,3,,,
23/04,,Lignablanca,control,19,0,1,1,0,0,3,,,
23/04,,Lignablanca,control,20,0,0,1,0,0,3,,,
23/04,,Lignablanca,control,21,0,1,1,0,0,3,,,
23/04,09:00,Biche,control,1,0,0,0,0,1,3,,,
23/04,,Biche,control,2,0,0,0,0,1,3,,,
23/04,,Biche,control,3,0,0,0,0,1,3,,,
23/04,,Biche,control,4,0,0,0,0,1,3,,,
23/04,,Biche,control,5,0,0,0,0,1,3,,,
23/04,,Biche,control,6,0,0,0,0,1,3,,,
23/04,,Biche,control,7,0,1,1,0,0,3,,,
23/04,,Biche,control,8,0,1,1,0,0,3,,,
23/04,,Biche,control,9,0,1,1,0,0,3,,,
23/04,,Biche,control,10,0,1,1,0,0,3,,,
23/04,17:15,Classy,control,1,0,0,0,0,1,6,,,
23/04,,Classy,control,2,0,0,0,0,1,6,,,
23/04,,Classy,control,3,0,0,0,0,1,6,,,
23/04,,Classy,control,4,1,0,0,0,1,6,,,
23/04,,Classy,control,5,0,0,0,0,1,6,,,
23/04,,Classy,control,6,0,0,0,0,1,6,,,
23/04,,Classy,control,7,0,0,0,0,1,6,,,
23/04,,Classy,control,8,1,0,0,0,1,6,,,
23/04,,Classy,control,9,0,0,0,0,1,6,,,
23/04,,Classy,control,10,0,0,0,0,1,6,,,
23/04,,Classy,control,11,0,0,0,0,1,6,,,
23/04,,Classy,control,12,0,0,0,0,1,6,,,
23/04,,Classy,control,13,0,0,0,0,1,6,,,
23/04,,Classy,control,14,0,0,0,0,1,6,,,
23/04,,Classy,control,15,0,0,0,0,1,6,,,
23/04,,Classy,control,16,0,0,1,0,0,6,,,
23/04,,Classy,control,17,0,1,1,0,0,6,,,
23/04,,Classy,control,18,0,0,0,0,1,6,,,
23/04,,Classy,control,19,0,0,0,0,1,6,,,
23/04,,Classy,control,20,1,0,1,0,0,6,,,
23/04,,Juvenile,control,1,0,0,0,0,1,6,,,
23/04,,Juvenile,control,2,0,0,0,0,1,6,,,
23/04,,Juvenile,control,3,0,0,1,0,0,6,,,
23/04,,Juvenile,control,4,0,1,1,0,0,6,,,
23/04,,Juvenile,control,5,0,1,1,0,0,6,,,
23/04,,Juvenile,control,6,0,0,1,0,0,6,,,
23/04,,Juvenile,control,7,0,1,0,0,1,6,,,
23/04,,Juvenile,control,8,0,0,0,0,1,6,,,
23/04,,Juvenile,control,6,0,0,1,0,0,6,,,
23/04,,Lucas,control,1,0,0,0,0,1,6,,,
23/04,,Lucas,control,2,0,0,0,0,1,6,,,
23/04,,Lucas,control,3,0,0,0,0,1,6,,,
23/04,,Lucas,control,4,0,0,0,0,1,6,,,
23/04,,Lucas,control,5,0,0,0,0,1,6,,,
23/04,,Lucas,control,6,0,1,0,0,1,6,,,
23/04,,Lucas,control,7,0,0,0,0,1,6,,,
23/04,,Lucas,control,8,0,0,0,0,1,6,,,
23/04,,Lucas,control,9,0,1,1,0,0,6,,,
23/04,,Lucas,control,10,0,1,1,0,0,6,,,
23/04,,Lucas,control,11,0,1,1,0,0,6,,,
23/04,,Lucas,control,12,0,0,1,1,0,6,,,
23/04,,Jean,control,1,0,0,0,0,1,7,,,
23/04,,Jean,control,2,1,0,0,0,1,7,,,
23/04,,Jean,control,3,0,0,0,0,1,7,,,
23/04,,Jean,control,4,0,0,0,0,1,7,,,
23/04,,Jean,control,5,0,0,0,0,1,7,,,
23/04,,Jean,control,6,1,0,0,0,1,7,,,
23/04,,Jean,control,7,0,0,0,0,1,7,,,
23/04,,Jean,control,8,0,0,0,0,1,7,,,
23/04,,Jean,control,9,0,0,0,0,1,7,,,
23/04,,Jean,control,10,0,0,0,0,1,7,,,
23/04,,Jean,control,11,0,0,0,0,1,7,,,
23/04,,Jean,control,12,1,0,1,0,0,7,,,
23/04,,Jean,control,13,0,0,1,1,0,7,,,
23/04,,Jean,control,14,0,0,1,1,0,7,,,
23/04,,Jean,control,15,0,0,1,1,0,7,,,
23/04,,Jean,control,16,0,0,1,1,0,7,,,
23/04,,Jean,control,16,0,0,1,0,0,7,,,
24/04,,Boxer,control,1,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,2,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,3,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,4,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,5,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,6,0,0,0,0,1,3,30,47,
