Date,Time burried,Location,Type,Soil temperature,Soil humidity,Order retreived,Time retreived,Comments,
10/12,07:25,field,control,27,6.8,2,15:26,retrieved at 18:30 same day,
10/12,07:25,field,crushed,27,6.7,1,15:26,retrieved at 18:30 same day,
10/12,11:30,field,control,30,6.7,2,NA,,
10/12,11:30,field,crushed,31,6.8,1,NA,retrieved at 18:30 same day,
10/12,11:45,uphill 1,control,30,6.8,NA,NA,between two trees,none were retreived before putting the camera away
10/12,11:45,uphill 1,crushed,29,6.8,NA,NA,between two trees,
10/12,11:45,uphill 2,control,28,6.9,NA,NA,leftmost,
10/12,11:45,uphill 2,crushed,28,6.9,NA,NA,leftmost,
10/12,11:45,uphill 3,control,28,6.7,NA,NA,other,
10/12,11:45,uphill 3,crushed,28,6.7,NA,NA,other,
10/12,11:45,uphill 4,control,29,6.8,NA,NA,big root,
10/12,11:45,uphill 4,crushed,29,6.8,NA,NA,big root,
11/12,08:56,field,control,30,6.9,NA,NA,front right,
11/12,08:56,field,crushed,30,6.9,NA,NA,front right,
11/12,09:10,field,control,30,6.8,NA,NA,front left,
11/12,09:10,field,crushed,29.2,6.8,NA,NA,front left,
11/12,09:20,field,control,29,6.8,2,15:00,back left,dug at by coati
11/12,09:20,field,crushed,29,6.8,1,11:08,back left,retrieval by agotui
11/12,09:30,field,control,28,6.8,NA,NA,back right,
11/12,09:30,field,crushed,28,6.7,NA,NA,back right,
11/12,09:45,bates trail,control,30,6.9,2,10:39:09,"front, DSCF0005",
11/12,09:45,bates trail,crushed,29,6.9,1,NA,"front, no timing but before 10:37:26, DSCF0005",
11/12,09:55,bates trail,control,29,6.8,1,10:39:20,"middle, DSCF0005",
11/12,09:55,bates trail,crushed,29,6.9,2,10:43:06,"middle, DSCF0007",
11/12,10:05,bates trail,control,30,6.5,2,10:42:52,"back, DSCF0007",
11/12,10:05,bates trail,crushed,29,6.7,1,10:40:44,"back, DSCF0006",
12/12,10:56,bates trail stadium,control,28,6.8,NA,NA,front,
12/12,10:56,bates trail stadium,crushed,28,7.1,NA,NA,front,
12/12,11:00,bates trail stadium,control,27,7.1,NA,NA,middle,
12/12,11:00,bates trail stadium,crushed,27,6.9,NA,NA,middle,
12/12,11:05,bates trail stadium,control,27,7,NA,NA,back,
12/12,11:05,bates trail stadium,crushed,27,7.1,NA,NA,back,
12/12,11:20,bamboo ,control,29,6.9,NA,NA,front left,
12/12,11:20,bamboo ,crushed,28,6.9,NA,NA,front left,
12/12,11:25,bamboo ,control,28,7,NA,NA,front right,
12/12,11:25,bamboo ,crushed,28,6.9,NA,NA,front right,
12/12,11:30,bamboo ,control,28,6.9,NA,NA,back,
12/12,11:30,bamboo ,crushed,28,6.9,NA,NA,back,
13/12,09:40,bates trail ants 1,control,28,7.1,2,NA,right side,
