Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,explore,,,START,4.500,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,135,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,explore,,,STOP,24.063,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,722,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,bending,,,START,24.429,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,733,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,grabbing peanut,,,POINT,25.029,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,751,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,bending,,,STOP,25.062,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,752,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,lifting,,,START,25.062,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,752,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,lifting,,,STOP,25.229,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,757,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,assessing,,,START,25.396,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,762,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,jaw movement,,,POINT,25.562,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,767,NA,
boit_1205,2025-06-05 16:05:44.780,,209.095,Media file(s),player #1:C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_10_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_11_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_12_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_13_control.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_2_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_3_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_4_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_5_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_6_three.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_7_one.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_8_five.mp4;C:\Users\esthe\Downloads\small boiteux 12_\Boit_1205_9_seven.mp4,0.0,33.361;14.067;14.331;21.564;6.399;8.664;23.761;18.197;19.200;7.900;7.064;10.199;28.898,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Boiteux,licking,,,POINT,25.996,C:\Users\esthe\Downloads\small boiteux 12_\Boi_1205_1_seven.mp4,780,NA,
