Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,bending,,,START,0.000,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,0,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,bending,,,STOP,0.601,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,18,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,grabbing peanut,,,POINT,0.601,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,18,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,lifting,,,START,0.634,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,19,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,lifting,,,STOP,1.067,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,32,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,target,,,START,1.167,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,35,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,target,,,STOP,3.501,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4,105,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,assessing,,,START,9.599,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4,180,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,jaw movement,,,POINT,9.665,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4,182,NA,
dote_1505,2025-07-11 11:43:55.464,,103.115,Media file(s),player #1:C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_10_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_12_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_13_one.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_4_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_5_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_6_seven.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_7_onehalf.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_8_five.mp4;C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_9_two.mp4,0.0,3.601;12.399;7.668;18.066;7.932;7.502;13.768;11.762;7.664;12.764,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Dote,jaw movement,,,POINT,9.865,C:\Users\esthe\Downloads\white dot 15 _\Dote_1505_11_onehalf.mp4,188,NA,
