Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,bending,,,START,1.034,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,31,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,bending,,,STOP,1.300,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,39,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,grabbing peanut,,,POINT,1.300,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,39,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,lifting,,,START,1.334,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,40,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,lifting,,,STOP,1.534,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,46,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,assessing,,,START,1.634,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,49,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,jaw movement,,,POINT,1.700,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,51,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,jaw movement,,,POINT,2.000,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,60,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,sniffing,,,POINT,2.634,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,79,NA,
Pepp_1305,2025-06-09 19:21:39.009,,87.845,Media file(s),player #1:C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_11_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_12_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_15_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_16_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_4_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_5_seven.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_6_three.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_7_one.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_8_five.mp4;C:\Users\esthe\Downloads\pepper 13\Pepp_1305_9_three.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_075924.mp4;C:\Users\esthe\Downloads\pepper 13\VID_20250513_080113.mp4,0.0,7.567;7.699;6.266;6.058;9.627;13.820;6.897;7.797;8.327;8.335;6.494;8.857;2.241,30.000;30.000;30.000;120.000;120.000;30.000;30.000;240.000;120.000;30.000;30.000;120.000;120.000,Pepper,jaw movement,,,POINT,2.934,C:\Users\esthe\Downloads\pepper 13\Pepp_1305_10_three.mp4,88,NA,
