Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,bending,,,START,0.000,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,0,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,bending,,,STOP,0.300,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,9,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,grabbing peanut,,,POINT,0.300,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,9,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,lifting,,,START,0.333,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,10,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,lifting,,,STOP,0.633,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,19,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,assessing,,,START,0.733,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,22,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,jaw movement,,,POINT,0.767,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,23,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,licking,,,POINT,0.800,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,24,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,jaw movement,,,POINT,1.033,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,31,NA,
repo_1405_1,2025-07-10 15:00:01.859,,66.827,Media file(s),player #1:C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_4_one(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_5_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_6_three(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_7_five(1).mp4;C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_8_seven(1).mp4,0.0,5.866;7.366;10.934;12.233;9.600;21.097,30.000;30.000;30.000;30.000;30.000;30.000,Repousse,rotation,,Horizontal,START,1.067,C:\Users\esthe\Downloads\repousse 14 1 _\Repo_1405_3_five(1).mp4,32,NA,
